Airport,Iata,city_id
Raleigh County Memorial Airport,KBKW,2467
Laurence G Hanscom Field,KBED,2468
Bedford County Airport,KHMZ,2469
Belle Glade State Municipal Airport,\N,2470
Scott AFB/Midamerica Airport,KBLV,2471
Bellingham International Airport,KBLI,2472
Bellingham-Bellingham Station,\N,2473
Bellwood Station,\N,2474
Belmont Station,\N,2475
Bemidji Regional Airport,KBJI,2476
Bend Municipal Airport,KBDN,2477
Saline County Regional Airport,KSUZ,2478
Southwest Michigan Regional Airport,\N,2479
Northwest Arkansas Regional Airport,KXNA,2480
Northwest Arkansas Samuel Walton International Airport,KNRW,2481
Berkeley METRA Station,\N,2482
Ashby BART Station,\N,2483
Bessemer Airport,KEKY,2484
Bethel Airport,PABE,2485
Bethpage Station,\N,2486
Bettles Airport,PABT,2487
Beverly Municipal Airport,KBVY,2488
Beverly Depot,\N,2489
Montserrat Station,\N,2490
Beverly Farms Station,\N,2491
Big Bear City,\N,2492
Big Mountain Airport,PABM,2493
Miley Memorial Field,KBPI,2494
Big Timber Airport,K6S0,2495
Billings Logan International Airport,KBIL,2496
Keesler Air Force Base,KBIX,2497
Greater Binghamton/Edwin A Link field,KBGM,2498
Binghamton Bus Terminal,BING,2499
Birmingham-Shuttlesworth International Airport,KBHM,2500
Birmingham Station,\N,2501
Bishop,\N,2502
Eastern Sierra Regional Airport,KBIH,2503
Bismarck Municipal Airport,KBIS,2504
Blake Knolls,\N,2505
Blakely Island Airport,\N,2506
Block Island State Airport,KBID,2507
Central Illinois Regional Airport at Bloomington-Normal,KBMI,2508
Monroe County Airport,KBMG,2509
Mall of America Metro Transit Station,\N,2510
Blue Canyon,\N,2511
Mercer County Airport,KBLF,2512
Blythe Airport,KBLH,2513
Arkansas International Airport,KBYH,2514
Boca Raton Airport,KBCT,2515
Boca Raton Station,\N,2516
Bois Blanc Island Ferry Terminal,\N,2517
Bois Blanc Island Airport,\N,2518
Boise Air Terminal/Gowen field,KBOI,2519
Clow International Airport,\N,2520
Borrego Valley Airport,KBXS,2521
General Edward Lawrence Logan International Airport,KBOS,2522
Boston South Station,BOST,2523
Boston Back Bay Station,\N,2524
Boston North Station,\N,2525
Long Wharf,\N,2526
Boulder Municipal Airport,KBDU,2527
Boulder City Municipal Airport,KBVU,2528
Bountiful,\N,2529
Bowling Green Warren County Regional Airport,KBWG,2530
Boynton Beach Station,\N,2531
Gallatin Field,KBZN,2532
Braceville Airport,\N,2533
Bradford Regional Airport,KBFD,2534
Bradshaw Army Airfield,PHSF,2535
Curtis Field,KBBD,2536
Brainerd Lakes Regional Airport,KBRD,2537
Branson LLC,KBBG,2538
Stephens County Airport,KBKD,2539
Bremerton National Airport,KPWT,2540
Bremerton Terminal,\N,2541
Brenham Municipal Airport,K11R,2542
Port Canaveral,\N,2543
Brevig Mission Airport,PFKT,2544
Birch Creek Airport,\N,2545
Bridgeport Ferry Dock,\N,2546
Bridgeport Station,\N,2547
Brigham City Airport,KBMC,2548
Tri Cities Regional Tn Va Airport,KTRI,2549
Brookings Regional Airport,BKX,2550
Brookneal/Campbell County Airport,K0V4,2551
Brooks Camp,\N,2552
Rocky Mountain Metropolitan Airport,KBJC,2553
Brownsville South Padre Island International Airport,KBRO,2554
KBWD,\N,2555
Brunswick Golden Isles Airport,KBQK,2556
Malcolm McKinnon Airport,KSSI,2557
Brunswick Executive Airport,KNHZ,2558
Coulter Field,KCFD,2559
Williams County Airport,\N,2560
Bryan Station,\N,2561
Bryce Canyon Airport,KBCE,2562
Nantahala Outdoor Center,\N,2563
Buckeye Municipal Airport,KBXK,2564
Buckland Airport,PABL,2565
Buckley Air Force Base,KBKF,2566
Port Bucyrus-Crawford County Airport,\N,2567
Buffalo Niagara International Airport,KBUF,2568
Buffalo Bus Terminal,BBUF,2569
Buffalo Exchange Street Station,\N,2570
Buffalo-Exchange Street Station,\N,2571
Laughlin-Bullhead Intl,IFP,2572
Bob Hope Airport,KBUR,2573
Burley Municipal Airport,KBYI,2574
Broadway Station,\N,2575
Burlingame Station,\N,2576
Burlington International Airport,KBTV,2577
Southeast Iowa Regional Airport,KBRL,2578
Burlington Alamance Regional Airport,KBUY,2579
Burlington Municipal Airport,KBUU,2580
Burns Municipal Airport,KBNO,2581
Augusta Regional At Bush Field,KAGS,2582
Bert Mooney Airport,KBTM,2583
Buzzards Bay Train Station,\N,2584
Byron Airport,\N,2585
Cairo-Grady County Airport,\N,2586
Essex County Airport,KCDW,2587
Calexico International Airport,KCXL,2588
Tom B. David Field,KCZL,2589
Camarillo Amtrak,\N,2590
Camarillo Airport,KCMA,2591
Rancho San Simeon Airport,66CA,2592
Cambridge Municipal Airport,\N,2593
Woodward Field,KCDN,2594
Camdenton,KOZS,2595
Volk Field,KVOK,2596
Andrews Air Force Base,KADW,2597
Cherokee County Airport,KCNI,2598
Cherokee County Airport,\N,2599
Cape Girardeau Regional Airport,KCGI,2600
Cape Lisburne LRRS Airport,PALU,2601
Cape May Ferry Terminal,\N,2602
Cape Newenham LRRS Airport,PAEH,2603
Cape Romanzof LRRS Airport,PACZ,2604
Southern Illinois Airport,KMDH,2605
Sky Ranch At Carefree Airport,18AZ,2606
Caribou Municipal Airport,KCAR,2607
Carle Place Station,\N,2608
Cavern City Air Terminal,KCNM,2609
Mc Clellan-Palomar Airport,KCRQ,2610
West Georgia Regional O V Gray Field,KCTJ,2611
Cartersville Airport,KVPC,2612
Casa Grande Municipal Airport,KCGZ,2613
Casper-Natrona County International Airport,KCPR,2614
Catalina Airport,KAVX,2615
Cedar City Regional Airport,KCDC,2616
CedarKey,KCDK,2617
The Eastern Iowa Airport,KCID,2618
Cedarhurst Station,\N,2619
Polk County Airport - Cornelius Moore Field,\N,2620
Central Airport,PACE,2621
Union Depot-Amtrak,CTLX,2622
Centre-Piedmont-Cherokee County Regional Airport,KPYP,2623
Chadron Municipal Airport,KCDR,2624
Chalkyitsik Airport,PACI,2625
University of Illinois Willard Airport,KCMI,2626
Illinois Terminal,\N,2627
Chandler Municipal Airport,KCHD,2628
Dulles International Airport Station,\N,2629
Chanute Martin Johnson Airport,KCNU,2630
Horace Williams Airport,KIGX,2631
Charlevoix Municipal Airport,KCVX,2632
Northeast Iowa Regional Airport,KCCY,2633
Charleston Air Force Base-International Airport,KCHS,2634
Yeager Airport,KCRW,2635
CHARLESTON CRUISE TERMINAL,\N,2636
Charleston Executive Airport,KJZI,2637
Charlotte Douglas International Airport,KCLT,2638
Monroe Reqional Airport,\N,2639
Charlotte Amtrak Station,\N,2640
Charlottesville Albemarle Airport,KCHO,2641
Cowra Airport,YCWR,2642
Lovell Field,KCHA,2643
Plaunt Ferry Terminal,\N,2644
Chefornak Airport,PACK,2645
Chehalis Centralia Airport,KCLS,2646
Lake Chelan Airport,\N,2647
Chelsea Station,\N,2648
Chemehuevi Valley,\N,2649
Chemult Station,\N,2650
Chenega Bay Airport,PFCB,2651
Cheraw Municipal Airport/Lynch Bellinger Field,KCQW,2652
Cherry Point MCAS /Cunningham Field/,KNKT,2653
Dune Park Station,\N,2654
Chevak Airport,PAVA,2655
Cheyenne Regional Jerry Olson Field,KCYS,2656
Chicago Midway International Airport,KMDW,2657
Waukegan National Airport,KUGN,2658
Chicago O'Hare International Airport,KORD,2659
Chicago Union Station,\N,2660
Wrigleyville,\N,2661
All Airports,\N,2662
Chicago Meigs Airport,KCGX,2663
Lasalle Station,\N,2664
Chicago Millennium Station,\N,2665
Ogilvie Transportation Center,\N,2666
Clybourn Station,\N,2667
Ravenswood Station,\N,2668
Rogers Park Station,\N,2669
63rd - CTA Station,\N,2670
Midway CTA Station,\N,2671
Van Buren Street Station,\N,2672
Museum Campus 11th St. Station,\N,2673
57th Street Station,\N,2674
Chicago Helicopter Experience,\N,2675
Irving Park Station,\N,2676
Jefferson Park Transit Center,\N,2677
Chicago Executive Airport,KPWK,2678
Chico Municipal Airport,KCIC,2679
Westover ARB/Metropolitan Airport,KCEF,2680
Chignik Bay Seaplane Base,\N,2681
Chignik Fisheries Airport,\N,2682
Chignik Lagoon Airport,\N,2683
Chignik Lake Airport,\N,2684
Childress Municipal Airport,KCDS,2685
Meuer Farm Helicopter Landing,\N,2686
China Lake Naws (Armitage Field) Airport,KNID,2687
Chinle Municipal Airport,\N,2688
Chino Airport,KCNO,2689
Chisana Airport,\N,2690
Chitina Airport,\N,2691
Christmas Valley Airport,K62S,2692
Chuathbaluk Airport,PACH,2693
Harford County Airport,\N,2694
Cincinnati Northern Kentucky International Airport,KCVG,2695
Cincinnati Municipal Airport Lunken Field,KLUK,2696
Cincinnati Union Terminal,\N,2697
Circle City /New/ Airport,PACR,2698
North Central West Virginia Airport,KCKB,2699
Clarksville–Montgomery County Regional Airport,KCKV,2700
Clear Lake Metroport,\N,2701
Clear Airport,PACL,2702
Clearwater Air Park,KCLW,2703
Oconee County Regional Airport,KCEU,2704
Cleveland Hopkins International Airport,KCLE,2705
Cleveland Clinic,CCLN,2706
Burke Lakefront Airport,KBKL,2707
Hardwick Field,KHDI,2708
Cleveland Greyhound Station,\N,2709
Cleveland Lakefront Station,\N,2710
Airglades Airport,\N,2711
Clinton Municipal Airport,KCWI,2712
Clinton Bus Stop,CLTN,2713
Clinton Sherman Airport,KCSM,2714
Cannon Air Force Base,KCVS,2715
Clovis Municipal Airport,KCVN,2716
Chester County G O Carlson Airport,KMQS,2717
Patrick Air Force Base,KCOF,2718
Merritt Island Airport,\N,2719
Cape Canaveral AFS Skid Strip,KXMR,2720
Yellowstone Regional Airport,KCOD,2721
Coeur D'Alene - Pappy Boyington Field,KCOE,2722
Coffeyville Municipal Airport,KCFV,2723
Coffman Cove Seaplane Base,\N,2724
Cold Bay Airport,PACD,2725
Port Moller Airport,PAAL,2726
Cold Spring Harbor Station,\N,2727
Coldfoot Airport,\N,2728
Branch County Memorial Airport,KOEB,2729
Colfax Station,\N,2730
Easterwood Field,KCLL,2731
Perkiomen Valley Airport,\N,2732
Colma BART Station,\N,2733
Columbus Air Force Base,KCBM,2734
City of Colorado Springs Municipal Airport,KCOS,2735
Columbia Metropolitan Airport,KCAE,2736
Columbia Regional Airport,KCOU,2737
Jim Hamilton L.B. Owens Airport,KCUB,2738
Columbia Amtrak Station,\N,2739
Rickenbacker International Airport,KLCK,2740
Port Columbus International Airport,KCMH,2741
Columbus Metropolitan Airport,KCSG,2742
Ohio State University Airport,KOSU,2743
Taszár Air Base,LHTA,2744
Columbus Municipal Airport,KBAK,2745
Columbus Municipal Airport,KOLU,2746
Golden Triangle Regional Airport,KGTR,2747
Concord Regional Airport,KJQF,2748
Buchanan Field,KCCR,2749
Concord Municipal Airport,KCON,2750
Joseph A. Hardy Connellsville Airport,KVVS,2751
Connellsville Amtrak Station,\N,2752
Lone Star Executive Airport,KCXO,2753
Conway Horry County Airport,KHYW,2754
Tenkiller Lake Airpark,\N,2755
Coolidge Municipal Airport,KP08,2756
Martin Campbell Field Airport,\N,2757
Crisp County Cordele Airport,KCKF,2758
Garibaldi Brothers Airport,\N,2759
Merle K (Mudhole) Smith Airport,PACV,2760
Habersham County Airport,KAJR,2761
Corpus Christi International Airport,KCRP,2762
Corpus Christi Naval Air Station/Truax Field,KNGP,2763
Cortez Municipal Airport,KCEZ,2764
Corvallis Municipal Airport,KCVO,2765
Cottonwood Airport,KP52,2766
Cotulla-La Salle County Airport,KCOT,2767
Council Airport,\N,2768
Council Bluffs Municipal Airport,KCBF,2769
Covington Municipal Airport,\N,2770
Craig Seaplane Base,\N,2771
Jack Mc Namara Field Airport,KCEC,2772
Bob Sikes Airport,KCEW,2773
Duke Field,KEGI,2774
Crooked Creek Airport,\N,2775
Cross City Airport,KCTY,2776
Crossville Memorial Whitson Field,KCSV,2777
Croton-Harmon Station,\N,2778
Crystal Airport,KMIC,2779
Crystal River Airport,KCGC,2780
Greater Cumberland Regional Airport,KCBE,2781
Cumberland Amtrak Station,\N,2782
Cushing Municipal Airport,KCUH,2783
Cut Bank International Airport,KCTB,2784
Barstow Daggett Airport,KDAG,2785
Dalhart Municipal Airport,KDHT,2786
